Date	Gain	Strongly Approve	Strongly Disapprove	Total Approval	Total Disapproval	President	Events
31-Mar	-19	28	47	43	57	Trump	Trump issues a tweet describing as a "witch hunt" allegations of links between Russia and his associates; 2 EOs preventing foreign trade abuse; New sanctions against North Korea; District Judge David J. Hale rules against a freedom of speech defense by President Trump's lawyers, permitting to proceed a lawsuit in which three plaintiffs allege that Trump incited violence at a presidential campaign rally
30-Mar	-17	27	44	44	56	Trump	Former National Security Adviser Michael Flynn seeks immunity from the FBI in exchange for testimony on White House links to Russia. Vice President Pence casts his second tie-breaking vote, voting to advance a bill to defund Planned Parenthood.
29-Mar	-17	27	44	44	56	Trump	Federal Judge Derrick Watson converts the temporary restraining order on President Trump's travel ban into an indefinite preliminary injunction, citing evidence of a religious objective; EO 13784 to combat drug addiction and the opioid crisis; Ivanka Trump is to become an unpaid employee in the West Wing; 
28-Mar	-17	27	44	45	55	Trump	EO 13783 removes a directive to consider climate change during deliberations under the National Environmental Policy Act, removes restrictions on fracking, and directs the Environmental Protection Agency to suspend, revise or abolish the Clean Power Plan; Allegations that the White House attempted to prevent former acting AG Sally Yates from testifying to the House Intelligence Committee are denied..
27-Mar	-16	28	44	45	54	Trump	3/26: Vice President Pence delivers an evening speech to the American Israel Public Affairs Committee reaffirming USA's commitments to Israeli defense;	Sessions outlines plans to withhold funds and grants from sanctuary cities which refuse to fully enforce federal immigration laws; EO 13782 repeals the Fair Pay and Safe Workplaces rule; memorandum creating the White House Office of American Innovation to be headed by his son in law J. Kushner; 
24-Mar	-17	29	46	44	56	Trump	House Speaker Paul Ryan indefinitely postpones the first major Congressional vote on the repeal and replace of ObamaCare; presidential permit to allow the construction of the Keystone XL pipeline by TransCanada Corporation; Betsy DeVos says she is considering the extension of federal financial aid for students that were year-round and interested in placing more focus on community colleges
23-Mar	-14	30	44	47	53	Trump	First major Congressional vote on Trump's repeal and replacement of ObamaCare is postponed until March 24; Memorandum and a presidential notice to "continue the national emergency declared in Executive Order 13664 with respect to South Sudan"
22-Mar	-14	30	44	46	54	Trump	Fatal terrorist attack carried out near the Palace of Westminster in London
21-Mar	7	33	40	50	50	Trump	The draft 2018 budject is out. Trump signs a bill which defines the budget and objectives of NASA, including a crewed mission to Mars as early as 2033. Cancels 4 Earth Science missions, Asteroid Redirect Mission and eliminates the NASA Office of Education, resulting in an overall 0.8% budget decrease.
20-Mar	-7	35	42	49	51	Trump	3/18: Trump suggests that Germany owes a financial debt to NATO. 3/19: German Defense Minister Ursula von der Leyen rejects this assertion; 3/20: FBI Director James Comey states that their investigation of Russian influence on the presidential election also covers possible links between Russia and Trump campaign figures, and that the FBI has no evidence of wiretapping against Trump;	The Senate Judiciary Committee begins hearings on the nomination of Judge Gorsuch; Trump holds evening political rally in Louisville, Kentucky; Trump nominates Judge Amul Thapar to the Sixth Circuit Court of Appeals; 3/18-20 Secr of State Tillerson meets with South Korean and China to discuss North Korea's missile program; President Trump issues a tweet rejecting allegations of collusion with Russia as "fake news";	
17-Mar	-9.	34.	43.	48.	52.	Trump	Bilateral meeting and joint press conference with German Chancellor Angela Merkel.;Trump administration to issue a formal apology to the United Kingdom with assurances that the allegation will not be repeated.;Rex Tillerson visits South Korea to discuss international threats, and indicates the possibility of military action against North Korea.;
16-Mar	-13.	31.	44.	47.	53.	Trump	Preliminary draft of the 2018 spending plan.;Secretary of State Rex Tillerson makes his first official visit to Japan, to discuss the threats posed by North Korea's missile program.;
15-Mar	-16.	28.	44.	45.	54.	Trump	Rep. Devin Nunes, chairman of the House Intelligence Committee, reports that the committee has not discovered any evidence supporting Trump's wiretapping claim.;Derrick Watson, a federal judge in Hawaii, issues a temporary nationwide restraining order on Executive Order 13780, the second travel ban.
14-Mar	-13.	30.	43.	46.	53.	Trump	Rachel Maddow discloses a portion of Trump's 2005 tax returns, shows a payment of $38.4 million on a $49.5 million adjusted gross income,	$103.2 million in losses that year.
13-Mar	-11.	31.	42.	47.	53.	Trump	03/11: A man appears in court after trespassing on the White House grounds shortly before midnight on March 10th; 03/12: Republican Senator John McCain calls on President Trump to provide evidence of wiretapping at Trump Tower or retract the allegation. 
10-Mar	-11.	32.	43.	48.	52.	Trump	President Trump and Jeff Sessions order the resignation of 46 U.S. attorneys remaining from the Obama administration.;Trump campaign advisor Roger Stone acknowledges personal communication he had with Guccifer 2.0.
9-Mar	-8.	33.	41.	49.	51.	Trump	President Trump pledges to remove certain regulations pertaining to the Dodd–Frank Wall Street Reform and Consumer Protection Act at a White House meeting with community bankers
8-Mar	-7.	35.	42.	49.	51.	Trump	Formal drafting of the repeal of the Affordable Care Act begins.
7-Mar	-1.	37.	38.	51.	49.	Trump	The White House confirms that President Trump has not conferred with the FBI over allegations of wiretapping by the previous administration;
6-Mar	-1.	37.	38.	52.	48.	Trump	03/04:Trump publicly accuses former President Barack Obama of intercepting communications at his offices in New York City's Trump Tower in October 2016; 03/04 March 4 Trump.;Trump signs Executive Order 13780, seen as a revised version of Executive Order 13769, effective March 16th, removing Iraq from affected countries and clarifying that lawful permanent residents are excluded from the travel ban. 
3-Mar	+1.	37.	36.	53.	47.	Trump	DeVos visit Saint Andrew Catholic School in Orlando, Florida.
2-Mar	-3.	36.	39.	52.	48.	Trump	The Senate confirms Ben Carson as United States Secretary of Housing and Urban Development.;The Senate confirms Rick Perry as United States Secretary of Energy.;
1-Mar	-6.	34.	40.	50.	50.	Trump	DoJ confirms that United States Attorney General Jeff Sessions twice met Russian Ambassador Sergey Kislyak during the 2016 election campaign in which he acted as an advisor to candidate Donald Trump.;Senate confirms Ryan Zinke as United States Secretary of the Interior by a vote of 68-31.[139] An existing Congressional inquiry expands its scope to include allegations of Russian interference in the 2016 United States elections.
28-Feb	-7.	34.	41.	50.	50.	Trump	02/27: Proposed 10% rise in military spending of $54 billion dollars diverted from numerous other budgets, including that of the State Department and the EPA is criticized in letter to Congress signed by more than 120 retired U.S. admirals and generals.;02/27: Former President George W. Bush offers implicit criticism of the Trump administration's handling the free press and religious freedom on the TODAY show.;Trump's first speech to Congress.
27-Feb	-4.	35.	39.	51.	49.	Trump	02/25: Trump announces that he will not be attending the White House Correspondents' Dinner scheduled for the spring.;02/26: Trump's choice for United States Secretary of the Navy, Philip M. Bilden, withdraws from his nomination.;
24-Feb	-1.	37.	38.	53.	47.	Trump	Trump gives a speech in Oxon Hill, Maryland to the 2017 CPAC.;The New York Times, BBC, CNN, Politico, The Huffington Post, The Los Angeles Times and BuzzFeed News are barred from the White House press briefing.;EO requires all federal agencies to create task forces to look at and determine which regulations hurt the U.S. economy.
23-Feb	+0.	38.	38.	52.	47.	Trump	Attorney General Jeff Sessions rescinds a 2016 Obama-era memorandum meant to phase out private federal US prisons.;It is confirmed that six White House staff members, including Chief Digital Officer Gerrit Lansing, were removed from their positions earlier in the month after failing FBI background checks.;Spicer tells reporters that the administration plans on increasing enforcement of the Controlled Substances Act against recreational cannabis use.
22-Feb	-2.	37.	39.	51.	49.	Trump	Trump administration rescinds a bathroom policy for transgender students that had been instated by the Obama administration.;
21-Feb	-3.	37.	40.	50.	50.	Trump	President Trump's administration announces the creation of 15,000 new positions in immigration enforcement, with the stated intention of initiating the removal of illegal immigrants from the United States.;Visit to National Museum of African American History and Culture.
20-Feb	-4.	35.	39.	51.	49.	Trump	02/18 Rally in Melbourne, Florida.;Lt General H. R. McMaster is appointed the 26th United States National Security Advisor.;
17-Feb	+2.	39.	37.	55.	45.	Trump	Scott Pruitt is approved by the U.S. Senate as the 14th Administrator of the Environmental Protection Agency.;Trump visits Boeing’s North Charleston, South Carolina assembly facility for the unveiling of its new 787-10 Dreamliner aircraft.
